
异常时间：2019-01-14 10:04:52,214 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:52,284 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:52,286 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:52,286 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:52,607 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:52,607 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:52,785 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:52,869 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:53,043 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:53,119 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:53,294 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:53,549 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:53,645 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:53,645 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:53,787 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:53,936 异常级别：ERROR异常内容：===============================================

