
异常时间：2018-12-19 11:16:58,289 异常级别：ERROR异常内容：執行錯誤
异常时间：2018-12-19 13:23:45,546 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197022&p=3时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:45,623 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:45,623 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197022&p=6时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:45,638 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197022&p=7，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:45,681 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:45,681 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197022&p=9时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:45,758 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:45,758 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197022&p=7时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:45,793 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:45,793 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197022&p=8时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:45,834 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197022&p=8，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:23:45

异常时间：2018-12-19 13:23:46,159 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:46,159 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197022&p=8时间：2018/12/19 13:23:46

异常时间：2018-12-19 13:26:06,808 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:06,808 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:06,809 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:06,847 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=7时间：2018/12/19 13:26:06

异常时间：2018-12-19 13:26:06,847 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=3时间：2018/12/19 13:26:06

异常时间：2018-12-19 13:26:06,847 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=1时间：2018/12/19 13:26:06

异常时间：2018-12-19 13:26:06,869 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=9，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:06

